Geo_FIPS,Geo_NAME,Geo_QNAME,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005
4604599999,Edmunds County,"Edmunds County, South Dakota",481,487,659,971,974
4604799999,Fall River County,"Fall River County, South Dakota",548,554,750,1029,1032
4604999999,Faulk County,"Faulk County, South Dakota",468,540,640,883,886
4605199999,Grant County,"Grant County, South Dakota",468,503,640,886,1099
4605399999,Gregory County,"Gregory County, South Dakota",468,540,640,943,946
4605599999,Haakon County,"Haakon County, South Dakota",508,515,695,1024,1028
4605799999,Hamlin County,"Hamlin County, South Dakota",509,512,642,946,949
4605999999,Hand County,"Hand County, South Dakota",468,486,640,933,936
4606199999,Hanson County,"Hanson County, South Dakota",480,486,657,818,878
4606399999,Harding County,"Harding County, South Dakota",468,474,640,883,886
4606599999,Hughes County,"Hughes County, South Dakota",489,494,669,986,1185
4606799999,Hutchinson County,"Hutchinson County, South Dakota",468,534,640,855,1134
4606999999,Hyde County,"Hyde County, South Dakota",468,474,640,943,946
4607199999,Jackson County,"Jackson County, South Dakota",468,540,640,943,946
4607399999,Jerauld County,"Jerauld County, South Dakota",468,502,640,943,946
4607599999,Jones County,"Jones County, South Dakota",468,474,640,943,946
4607799999,Kingsbury County,"Kingsbury County, South Dakota",468,493,640,943,1028
4607999999,Lake County,"Lake County, South Dakota",468,540,640,943,946
4608199999,Lawrence County,"Lawrence County, South Dakota",456,531,669,953,957
4608399999,Lincoln County,"Lincoln County, South Dakota",481,565,711,1000,1177
4608599999,Lyman County,"Lyman County, South Dakota",468,517,640,943,1134
4608799999,McCook County,"McCook County, South Dakota",481,565,711,1000,1177
4608999999,McPherson County,"McPherson County, South Dakota",468,473,640,883,886
4609199999,Marshall County,"Marshall County, South Dakota",476,481,651,959,963
4609399999,Meade County,"Meade County, South Dakota",432,551,682,961,965
4609599999,Mellette County,"Mellette County, South Dakota",468,474,640,943,946
4609799999,Miner County,"Miner County, South Dakota",468,540,640,883,886
4609999999,Minnehaha County,"Minnehaha County, South Dakota",481,565,711,1000,1177
4610199999,Moody County,"Moody County, South Dakota",468,473,640,941,944
4610399999,Pennington County,"Pennington County, South Dakota",503,594,794,1072,1406
4610599999,Perkins County,"Perkins County, South Dakota",468,473,640,797,855
4610799999,Potter County,"Potter County, South Dakota",468,540,640,797,855
4610999999,Roberts County,"Roberts County, South Dakota",468,536,640,893,897
4611199999,Sanborn County,"Sanborn County, South Dakota",468,540,640,943,1031
4611399999,Shannon County,"Shannon County, South Dakota",468,521,640,851,880
4611599999,Spink County,"Spink County, South Dakota",517,540,640,943,946
4611799999,Stanley County,"Stanley County, South Dakota",522,529,715,1054,1103
4611999999,Sully County,"Sully County, South Dakota",468,474,640,797,855
4612199999,Todd County,"Todd County, South Dakota",468,474,640,797,855
4612399999,Tripp County,"Tripp County, South Dakota",468,473,640,867,870
4612599999,Turner County,"Turner County, South Dakota",481,565,711,1000,1177
4612799999,Union County,"Union County, South Dakota",421,550,708,929,1045
4612999999,Walworth County,"Walworth County, South Dakota",468,540,640,943,946
4613599999,Yankton County,"Yankton County, South Dakota",457,473,640,893,1067
4613799999,Ziebach County,"Ziebach County, South Dakota",468,498,640,935,1062
4700199999,Anderson County,"Anderson County, Tennessee",492,628,774,1034,1162
4700399999,Bedford County,"Bedford County, Tennessee",423,525,622,877,1038
4700599999,Benton County,"Benton County, Tennessee",395,429,581,856,1029
4700799999,Bledsoe County,"Bledsoe County, Tennessee",395,444,581,724,821
4700999999,Blount County,"Blount County, Tennessee",492,628,774,1034,1162
4701199999,Bradley County,"Bradley County, Tennessee",470,505,683,879,1132
4701399999,Campbell County,"Campbell County, Tennessee",395,466,581,762,1029
4701599999,Cannon County,"Cannon County, Tennessee",616,710,850,1130,1213
4701799999,Carroll County,"Carroll County, Tennessee",395,429,581,724,888
4701999999,Carter County,"Carter County, Tennessee",489,580,729,997,1250
4702199999,Cheatham County,"Cheatham County, Tennessee",616,710,850,1130,1213
4702399999,Chester County,"Chester County, Tennessee",403,531,678,904,987
4702599999,Claiborne County,"Claiborne County, Tennessee",359,485,581,724,1029
4702799999,Clay County,"Clay County, Tennessee",395,429,581,856,861
4702999999,Cocke County,"Cocke County, Tennessee",395,477,581,840,843
4703199999,Coffee County,"Coffee County, Tennessee",397,479,635,871,928
4703399999,Crockett County,"Crockett County, Tennessee",415,515,611,772,940
4703599999,Cumberland County,"Cumberland County, Tennessee",407,501,599,750,801
4703799999,Davidson County,"Davidson County, Tennessee",616,710,850,1130,1213
4703999999,Decatur County,"Decatur County, Tennessee",395,490,581,757,969
4704199999,DeKalb County,"DeKalb County, Tennessee",395,429,581,848,851
4704399999,Dickson County,"Dickson County, Tennessee",616,710,850,1130,1213
4704599999,Dyer County,"Dyer County, Tennessee",440,443,599,808,811
4704799999,Fayette County,"Fayette County, Tennessee",614,702,832,1137,1267
4704999999,Fentress County,"Fentress County, Tennessee",395,429,581,740,811
4705199999,Franklin County,"Franklin County, Tennessee",398,432,585,782,785
4705399999,Gibson County,"Gibson County, Tennessee",465,468,581,795,798
4705599999,Giles County,"Giles County, Tennessee",396,492,583,836,839
4705799999,Grainger County,"Grainger County, Tennessee",408,451,593,795,929
4705999999,Greene County,"Greene County, Tennessee",395,485,581,772,783
4706199999,Grundy County,"Grundy County, Tennessee",395,447,581,856,859
4706399999,Hamblen County,"Hamblen County, Tennessee",408,451,593,795,929
4706599999,Hamilton County,"Hamilton County, Tennessee",476,574,714,971,1094
4706799999,Hancock County,"Hancock County, Tennessee",395,437,581,797,1029
4706999999,Hardeman County,"Hardeman County, Tennessee",395,490,581,731,953
4707199999,Hardin County,"Hardin County, Tennessee",395,429,581,727,1029
4707399999,Hawkins County,"Hawkins County, Tennessee",461,511,658,861,974
4707599999,Haywood County,"Haywood County, Tennessee",364,515,611,761,817
4707799999,Henderson County,"Henderson County, Tennessee",425,462,625,778,835
4707999999,Henry County,"Henry County, Tennessee",404,502,595,741,1054
4708199999,Hickman County,"Hickman County, Tennessee",465,475,642,946,1112
4708399999,Houston County,"Houston County, Tennessee",346,429,581,733,776
4708599999,Humphreys County,"Humphreys County, Tennessee",395,490,581,761,776
4708799999,Jackson County,"Jackson County, Tennessee",395,429,581,856,859
4708999999,Jefferson County,"Jefferson County, Tennessee",408,451,593,795,929
4709199999,Johnson County,"Johnson County, Tennessee",395,429,581,724,776
4709399999,Knox County,"Knox County, Tennessee",492,628,774,1034,1162
4709599999,Lake County,"Lake County, Tennessee",454,457,581,856,935
4709799999,Lauderdale County,"Lauderdale County, Tennessee",395,429,581,824,1019
4709999999,Lawrence County,"Lawrence County, Tennessee",395,448,581,724,802
4710199999,Lewis County,"Lewis County, Tennessee",395,490,581,856,1029
4710399999,Lincoln County,"Lincoln County, Tennessee",395,444,581,724,977
4710599999,Loudon County,"Loudon County, Tennessee",492,628,774,1034,1162
4710799999,McMinn County,"McMinn County, Tennessee",362,507,609,802,917
4710999999,McNairy County,"McNairy County, Tennessee",369,429,581,724,782
4711199999,Macon County,"Macon County, Tennessee",421,429,581,724,776
4711399999,Madison County,"Madison County, Tennessee",403,531,678,904,987
4711599999,Marion County,"Marion County, Tennessee",476,574,714,971,1094
